ID	HINT	HINT2	ANSWER	TYPEIN	TYPEIN2
newcastle-street	Primary		Newcastle Street	Newcastle St	
nicholson-road	Primary	State Route 31	Nicholson Road	Nicholson Rd	
nollamara-avenue	Primary		Nollamara Avenue	Nollamara Ave	
north-lake-road	Primary		North Lake Road	North Lake Rd	
oats-street	Primary		Oats Street	Oats St	
ocean-reef-road	Primary	State Route 84	Ocean Reef Road	Ocean Reef Rd	
oceanic-drive	Primary		Oceanic Drive	Oceanic Dr	
odin-road	Primary		Odin Road	Odin Rd	
old-york-road	Primary		Old York Road	Old York Rd	
olga-road	Primary		Olga Road	Olga Rd	
ord-street	Primary	State Route 12	Ord Street	Ord St	
oxford-street	Primary		Oxford Street	Oxford St	
pearson-street	Primary	State Route 64	Pearson Street	Pearson St	
phoenix-road	Primary		Phoenix Road	Phoenix Rd	
plain-street	Primary	State Route 65	Plain Street	Plain St	
port-beach-road	Primary		Port Beach Road	Port Beach Rd	
powis-street	Primary		Powis Street	Powis St	
queen-victoria-street	Primary	State Route 12	Queen Victoria Street	Queen Victoria St	
rae-road	Primary		Rae Road	Rae Rd	
railway-parade	Primary		Railway Parade	Railway Pde	
railway-road	Primary		Railway Road	Railway Rd	
ranford-road	Primary	State Route 13	Ranford Road	Ranford Rd	
ravenswood-drive	Primary		Ravenswood Drive	Ravenswood Dr	
read-street	Primary		Read Street	Read St	
riverside-drive	Primary	State Route 5	Riverside Drive	Riverside Dr	
roberts-road	Primary		Roberts Road	Roberts Rd	
royal-street	Primary		Royal Street	Royal St	
russell-road	Primary		Russell Road	Russell Rd	
russell-street	Primary		Russell Street	Russell St	
safety-bay-road	Primary	State Route 18	Safety Bay Road	Safety Bay Rd	
scarborough-beach-road	Primary	State Route 75	Scarborough Beach Road	Scarborough Beach Rd	
selby-street	Primary	State Route 64	Selby Street	Selby St	
shenton-avenue	Primary		Shenton Avenue	Shenton Ave	
southern-river-road	Primary		Southern River Road	Southern River Rd	
southport-street	Primary		Southport Street	Southport St	
spencer-road	Primary	State Route 36	Spencer Road	Spencer Rd	
spring-road	Primary		Spring Road	Spring Rd	
st-georges-terrace	Primary		St Georges Terrace	St Georges Tce	
stephenson-avenue	Primary	State Route 64	Stephenson Avenue	Stephenson Ave	
stoneham-street	Primary	State Route 55	Stoneham Street	Stoneham St	
stubbs-terrace	Primary		Stubbs Terrace	Stubbs Tce	
swan-view-road	Primary		Swan View Road	Swan View Rd	
the-boulevard	Primary	State Route 72	The Boulevard	The Blvd	
the-promenade	Primary		The Promenade		
thomas-street	Primary	State Route 61	Thomas Street	Thomas St	
toodyay-road	Primary	State Route 50	Toodyay Road	Toodyay Rd	
tydeman-road	Primary	State Route 204	Tydeman Road	Tydeman Rd	
underwood-avenue	Primary	State Route 65	Underwood Avenue	Underwood Ave	
victoria-street	Primary		Victoria Street	Victoria St	
vincent-street	Primary	State Route 72	Vincent Street	Vincent St	
walcott-street	Primary	State Route 75	Walcott Street	Walcott St	
walter-place	Primary	State Route 204	Walter Place	Walter Pl	
walter-road-east	Primary		Walter Road East	Walter Rd East	
walter-road-west	Primary		Walter Road West	Walter Rd West	
warnbro-sound-avenue	Primary		Warnbro Sound Avenue	Warnbro Sound Ave	
warton-road	Primary		Warton Road	Warton Rd	
warwick-road	Primary	State Route 81	Warwick Road	Warwick Rd	
watkins-road	Primary	State Route 22	Watkins Road	Watkins Rd	
wellard-road	Primary		Wellard Road	Wellard Rd	
wellington-road	Primary		Wellington Road	Wellington Rd	
wellington-street	Primary	State Route 65	Wellington Street	Wellington St	
welshpool-road	Primary		Welshpool Road	Welshpool Rd	
welshpool-road-east	Primary	State Route 8	Welshpool Road East	Welshpool Rd East	
west-swan-road	Primary	State Route 52	West Swan Road	West Swan Rd	
whatley-crescent	Primary		Whatley Crescent	Whatley Cres	
whitfords-avenue	Primary	State Route 83	Whitfords Avenue	Whitfords Ave	
widgee-road	Primary		Widgee Road	Widgee Rd	
william-street	Primary	State Route 53	William Street	William St	
winthrop-avenue	Primary	State Route 61	Winthrop Avenue	Winthrop Ave	
woodrow-avenue	Primary		Woodrow Avenue	Woodrow Ave	
yale-road	Primary		Yale Road	Yale Rd	
yirrigan-drive	Primary		Yirrigan Drive	Yirrigan Dr	
